	dir chrom start end
Glyma02g11800 - Gm02 10039258 10043060
Glyma02g11810 - Gm02 10049972 10050724
Glyma02g11820 + Gm02 10061635 10063322
Glyma02g11830 + Gm02 10064476 10064926
Glyma02g11840 + Gm02 10067825 10068986
Glyma02g11850 + Gm02 10070062 10072061
Glyma02g11860 + Gm02 10074928 10078043
Glyma02g11870 + Gm02 10079440 10082613
Glyma02g11880 - Gm02 10090469 10092065
Glyma02g11890 - Gm02 10096333 10101410
Glyma02g11900 + Gm02 10119512 10121841
Glyma02g11910 + Gm02 10124682 10127484
Glyma02g11920 - Gm02 10128667 10130671
Glyma02g11930 - Gm02 10133070 10135483
Glyma02g11940 - Gm02 10151078 10152005
Glyma02g11950 - Gm02 10156209 10157341
Glyma02g11960 - Gm02 10172838 10177167
Glyma02g11970 - Gm02 10188660 10191607
Glyma02g11980 - Gm02 10193026 10201110
Glyma02g11990 - Gm02 10203498 10208103
Glyma02g12010 + Gm02 10223969 10226432
Glyma02g12020 + Gm02 10232077 10234505
Glyma02g12030 + Gm02 10248713 10252316
Glyma02g12040 - Gm02 10255229 10256933
Glyma02g12050 + Gm02 10260858 10262149
Glyma02g12060 - Gm02 10262550 10264352
Glyma02g12070 - Gm02 10270066 10272233
Glyma02g12080 + Gm02 10304778 10306283
Glyma02g12090 + Gm02 10325096 10325532
Glyma02g12100 - Gm02 10329254 10331366
Glyma02g12110 + Gm02 10352979 10353344
Glyma02g12120 - Gm02 10353889 10355614
Glyma02g12130 + Gm02 10359663 10360544
Glyma02g12140 - Gm02 10367183 10369443
Glyma02g12150 - Gm02 10402031 10405308
Glyma02g12160 - Gm02 10407461 10411573
Glyma02g12170 - Gm02 10413217 10415781
Glyma02g12180 + Gm02 10421255 10423000
Glyma02g12190 + Gm02 10423046 10423667
Glyma02g12200 + Gm02 10428065 10430151
Glyma02g12210 + Gm02 10436768 10441683
Glyma02g12220 - Gm02 10443571 10445588
Glyma02g12230 + Gm02 10466218 10476232
Glyma02g12240 + Gm02 10487039 10487995
Glyma02g12250 + Gm02 10518973 10523985
Glyma02g12260 + Gm02 10547408 10551594
Glyma02g12270 + Gm02 10553222 10553941
Glyma02g12280 - Gm02 10563622 10565040
Glyma02g12290 - Gm02 10567601 10571851
Glyma02g12300 - Gm02 10575559 10578355
Glyma02g12310 + Gm02 10580846 10586042
Glyma02g12320 + Gm02 10589200 10594873
Glyma02g12330 - Gm02 10595876 10599537
Glyma02g12340 - Gm02 10600867 10612905
Glyma02g12360 + Gm02 10633351 10633820
Glyma02g12370 - Gm02 10639627 10643971
Glyma02g12380 - Gm02 10645296 10648168
Glyma02g12390 - Gm02 10650267 10655660
Glyma02g12400 + Gm02 10659552 10674427
Glyma02g12410 + Gm02 10678959 10679286
Glyma02g12420 - Gm02 10680071 10680466
Glyma02g12430 + Gm02 10700705 10703796
Glyma02g12450 - Gm02 10717561 10722459
Glyma02g12460 - Gm02 10726360 10732301
Glyma02g12470 + Gm02 10753640 10759704
Glyma02g12480 + Gm02 10762108 10768521
Glyma02g12490 - Gm02 10771403 10776397
Glyma02g12500 + Gm02 10802253 10807487
Glyma02g12510 + Gm02 10808356 10809287
Glyma02g12520 - Gm02 10811338 10815260
Glyma02g12530 - Gm02 10817964 10825267
Glyma02g12540 - Gm02 10827035 10829943
Glyma02g12550 + Gm02 10835508 10836004
Glyma02g12560 + Gm02 10837090 10840060
Glyma02g12570 - Gm02 10840645 10843597
Glyma02g12580 - Gm02 10846599 10849572
Glyma02g12590 - Gm02 10855360 10859084
Glyma02g12600 + Gm02 10865145 10865447
Glyma02g12610 - Gm02 10870513 10870778
Glyma02g12620 - Gm02 10874568 10875784
Glyma02g12630 + Gm02 10927502 10931964
Glyma02g12640 - Gm02 10942366 10945659
Glyma02g12650 - Gm02 10945694 10949670
Glyma02g12660 - Gm02 10956507 10957881
Glyma02g12670 - Gm02 10959352 10968077
Glyma02g12680 - Gm02 10970950 10972453
Glyma02g12690 - Gm02 10974695 10978460
Glyma02g12700 + Gm02 10980774 10986001
Glyma02g12710 - Gm02 10986500 10988588
Glyma02g12720 + Gm02 10994860 10997828
Glyma02g12730 - Gm02 10998702 11001560
Glyma02g12740 + Gm02 11003353 11006234
Glyma02g12750 - Gm02 11009241 11010726
Glyma02g12760 + Gm02 11028210 11031340
Glyma02g12770 - Gm02 11031976 11033606
Glyma02g12780 + Gm02 11037955 11039359
Glyma02g12790 - Gm02 11046172 11050614
Glyma02g12800 + Gm02 11053245 11057323
Glyma02g12810 - Gm02 11064489 11064761
Glyma02g12820 - Gm02 11067323 11069557
Glyma02g12830 + Gm02 11099620 11106899
Glyma02g12840 - Gm02 11117973 11119431
Glyma02g12850 - Gm02 11123985 11124877
Glyma02g12860 + Gm02 11134916 11135070
Glyma02g12870 - Gm02 11135584 11137974
Glyma02g12880 + Gm02 11157218 11158320
Glyma02g12890 + Gm02 11159095 11161369
Glyma02g12900 + Gm02 11167424 11171244
Glyma02g12910 - Gm02 11173266 11174753
Glyma02g12920 - Gm02 11177184 11184879
Glyma02g12930 + Gm02 11188826 11193147
Glyma02g12940 - Gm02 11202576 11205850
Glyma02g12950 + Gm02 11209745 11212030
Glyma02g12960 - Gm02 11215768 11222424
Glyma02g12970 - Gm02 11234519 11240464
Glyma02g12980 + Gm02 11249072 11254334
Glyma02g12990 - Gm02 11258188 11259165
Glyma02g13000 + Gm02 11260119 11263665
Glyma02g13010 - Gm02 11264957 11269192
Glyma02g13020 + Gm02 11283676 11286068
Glyma02g13030 + Gm02 11286977 11287118
Glyma02g13040 + Gm02 11294221 11294430
Glyma02g13050 + Gm02 11300647 11300802
Glyma02g13060 - Gm02 11302291 11303199
Glyma02g13070 + Gm02 11303355 11310035
Glyma02g13080 - Gm02 11309682 11316722
Glyma02g13100 + Gm02 11317808 11317963
Glyma02g13110 + Gm02 11322461 11323555
Glyma02g13120 + Gm02 11340975 11345230
Glyma02g13130 - Gm02 11355058 11357320
Glyma02g13140 + Gm02 11357973 11360567
Glyma02g13150 + Gm02 11361177 11361284
Glyma02g13160 - Gm02 11369586 11378137
Glyma02g13170 + Gm02 11390732 11399678
Glyma02g13180 + Gm02 11405426 11408052
Glyma02g13190 - Gm02 11411047 11411322
Glyma02g13200 - Gm02 11414540 11416051
Glyma02g13210 + Gm02 11438318 11440741
Glyma02g13220 + Gm02 11463581 11476676
Glyma02g13230 + Gm02 11484145 11490945
Glyma02g13240 + Gm02 11498087 11502502
Glyma02g13250 + Gm02 11513896 11519429
Glyma02g13260 - Gm02 11525564 11529292
Glyma02g13270 + Gm02 11530752 11534098
Glyma02g13280 - Gm02 11538855 11539994
Glyma02g13290 + Gm02 11552503 11559199
Glyma02g13300 - Gm02 11560943 11561926
Glyma02g13310 + Gm02 11567483 11574109
Glyma02g13320 + Gm02 11590875 11593592
Glyma02g13330 + Gm02 11601786 11605281
Glyma02g13340 - Gm02 11617438 11619983
Glyma02g13350 + Gm02 11646986 11648704
Glyma02g13360 - Gm02 11651991 11661761
Glyma02g13370 - Gm02 11671023 11677258
Glyma02g13380 - Gm02 11692905 11694242
Glyma02g13390 + Gm02 11730022 11730198
Glyma02g13400 + Gm02 11734620 11736851
Glyma02g13410 + Gm02 11746279 11746718
Glyma02g13420 + Gm02 11749041 11752996
Glyma02g13430 - Gm02 11757828 11758642
Glyma02g13440 + Gm02 11767761 11768963
Glyma02g13450 + Gm02 11770447 11771944
Glyma02g13460 + Gm02 11776527 11778734
Glyma02g13470 + Gm02 11779801 11782246
Glyma02g13500 + Gm02 11797927 11798265
Glyma02g13510 + Gm02 11801655 11803293
Glyma02g13520 - Gm02 11805403 11812450
Glyma02g13530 - Gm02 11814246 11814649
Glyma02g13540 - Gm02 11822163 11825110
Glyma02g13550 - Gm02 11859782 11861521
Glyma02g13570 + Gm02 11890485 11895675
Glyma02g13580 + Gm02 11913963 11916199
Glyma02g13590 + Gm02 11923151 11928625
Glyma02g13600 + Gm02 11929071 11931473
Glyma02g13610 - Gm02 11931043 11931594
Glyma02g13620 - Gm02 11935725 11940272
Glyma02g13630 + Gm02 11943288 11949699
Glyma02g13640 + Gm02 11953560 11958443
Glyma02g13650 + Gm02 11960052 11965260
Glyma02g13660 + Gm02 11966705 11968109
Glyma02g13670 - Gm02 11970069 11975376
Glyma02g13680 - Gm02 11991245 11993160
Glyma02g13690 + Gm02 12005655 12005840
Glyma02g13700 + Gm02 12015230 12018257
Glyma02g13710 - Gm02 12031358 12034553
Glyma02g13720 - Gm02 12047855 12050644
Glyma02g13730 - Gm02 12054875 12057645
Glyma02g13740 - Gm02 12070451 12071936
Glyma02g13750 - Gm02 12078204 12078386
Glyma02g13760 + Gm02 12079505 12080678
Glyma02g13770 + Gm02 12089332 12090951
Glyma02g13780 - Gm02 12100351 12106798
Glyma02g13790 + Gm02 12108635 12116911
Glyma02g13800 + Gm02 12123758 12127540
Glyma02g13810 + Gm02 12129887 12132855
Glyma02g13820 - Gm02 12135622 12137481
Glyma02g13830 + Gm02 12142817 12145022
Glyma02g13840 + Gm02 12149043 12152877
Glyma02g13850 + Gm02 12164901 12168241
Glyma02g13860 - Gm02 12171144 12174474
Glyma02g13870 - Gm02 12174694 12175599
Glyma02g13880 + Gm02 12193724 12198401
Glyma02g13900 + Gm02 12223316 12223422
Glyma02g13910 + Gm02 12247035 12249746
Glyma02g13920 - Gm02 12258914 12260486
Glyma02g13930 + Gm02 12262069 12262827
Glyma02g13940 + Gm02 12263551 12264044
Glyma02g13950 + Gm02 12266532 12268224
Glyma02g13960 + Gm02 12313560 12314159
Glyma02g13970 - Gm02 12330111 12330327
Glyma02g13980 + Gm02 12332982 12338923
Glyma02g13990 + Gm02 12344409 12345664
Glyma02g14000 + Gm02 12347913 12354366
Glyma02g14010 - Gm02 12357043 12357714
Glyma02g14020 - Gm02 12378381 12378734
Glyma02g14030 - Gm02 12389214 12390177
Glyma02g14040 + Gm02 12410808 12416680
Glyma02g14050 + Gm02 12425948 12427723
Glyma02g14060 + Gm02 12436809 12445987
Glyma02g14070 + Gm02 12451510 12453284
Glyma02g14080 + Gm02 12466542 12467592
Glyma02g14090 + Gm02 12470069 12472828
Glyma02g14100 + Gm02 12484935 12485562
Glyma02g14110 + Gm02 12489295 12508315
Glyma02g14120 + Gm02 12518947 12520187
Glyma02g14130 + Gm02 12600377 12600663
Glyma02g14140 + Gm02 12616500 12623640
Glyma02g14150 + Gm02 12640915 12643098
Glyma02g14160 - Gm02 12650771 12654937
Glyma02g14170 + Gm02 12664125 12665171
Glyma02g14180 - Gm02 12688364 12691342
Glyma02g14190 - Gm02 12689817 12690073
Glyma02g14200 + Gm02 12734085 12735476
Glyma02g14210 + Gm02 12744746 12755166
Glyma02g14220 + Gm02 12759739 12761415
Glyma02g14230 + Gm02 12770513 12771084
Glyma02g14240 - Gm02 12771512 12776320
Glyma02g14250 + Gm02 12784357 12786089
Glyma02g14260 + Gm02 12787994 12790043
Glyma02g14270 - Gm02 12792666 12795347
Glyma02g14280 + Gm02 12800077 12824692
Glyma02g14290 + Gm02 12842184 12844143
Glyma02g14300 + Gm02 12858315 12866373
Glyma02g14310 + Gm02 12879585 12884539
Glyma02g14320 - Gm02 12879614 12880404
Glyma02g14330 + Gm02 12894229 12897902
Glyma02g14350 - Gm02 12910288 12918202
Glyma02g14360 + Gm02 12933283 12936401
Glyma02g14370 - Gm02 12948938 12950575
Glyma02g14380 + Gm02 12957696 12964429
Glyma02g14390 - Gm02 12964698 12966908
Glyma02g14400 + Gm02 12965058 12966908
Glyma02g14410 + Gm02 12971984 12973180
Glyma02g14420 - Gm02 12972054 12972744
Glyma02g14430 - Gm02 12972772 12976459
Glyma02g14440 - Gm02 12980216 12986470
Glyma02g14450 + Gm02 13039403 13041582
Glyma02g14460 - Gm02 13041900 13042798
Glyma02g14470 - Gm02 13050661 13055548
Glyma02g14480 + Gm02 13064733 13065138
Glyma02g14490 + Gm02 13099441 13099557
Glyma02g14500 - Gm02 13110079 13128981
Glyma02g14510 + Gm02 13132652 13132791
Glyma02g14520 - Gm02 13144353 13145501
Glyma02g14550 - Gm02 13153256 13160774
Glyma02g14560 + Gm02 13164678 13164817
Glyma02g14570 - Gm02 13176266 13177442
Glyma02g14600 - Gm02 13185440 13193055
Glyma02g14610 + Gm02 13196926 13197065
Glyma02g14620 - Gm02 13207994 13209297
Glyma02g14630 - Gm02 13215160 13222754
Glyma02g14640 + Gm02 13225591 13225971
Glyma02g14650 - Gm02 13237414 13238613
Glyma02g14660 - Gm02 13245103 13250488
Glyma02g14670 + Gm02 13255590 13255739
Glyma02g14680 + Gm02 13259041 13259180
Glyma02g14690 - Gm02 13270627 13271914
Glyma02g14710 - Gm02 13278333 13279615
Glyma02g14740 - Gm02 13287327 13295562
Glyma02g14750 - Gm02 13296316 13299284
Glyma02g14760 + Gm02 13299442 13299581
Glyma02g14770 - Gm02 13306276 13307454
Glyma02g14790 - Gm02 13313775 13321638
Glyma02g14800 + Gm02 13325174 13326401
Glyma02g14810 + Gm02 13336352 13337413
Glyma02g14820 + Gm02 13351494 13352137
Glyma02g14830 + Gm02 13367680 13368219
Glyma02g14860 - Gm02 13373132 13377639
Glyma02g14870 + Gm02 13378814 13382259
Glyma02g14880 - Gm02 13385858 13389804
Glyma02g14890 + Gm02 13423773 13431022
Glyma02g14900 - Gm02 13428805 13429231
Glyma02g14910 + Gm02 13436734 13440168
Glyma02g14920 + Gm02 13506577 13509846
Glyma02g14930 + Gm02 13518015 13524374
Glyma02g14940 + Gm02 13534944 13536005
Glyma02g14950 - Gm02 13538877 13541815
Glyma02g14960 - Gm02 13546728 13550302
Glyma02g14970 + Gm02 13550582 13551212
Glyma02g14980 + Gm02 13554772 13557645
Glyma02g14990 + Gm02 13559409 13564448
Glyma02g15000 + Gm02 13564571 13565351
Glyma02g15010 - Gm02 13567329 13569289
Glyma02g15020 - Gm02 13570515 13572413
Glyma02g15030 + Gm02 13578919 13580091
Glyma02g15040 - Gm02 13583738 13583990
Glyma02g15050 - Gm02 13584078 13596750
Glyma02g15060 + Gm02 13603162 13603341
Glyma02g15070 + Gm02 13610071 13621421
Glyma02g15080 - Gm02 13626822 13631295
Glyma02g15090 - Gm02 13636012 13636353
Glyma02g15100 - Gm02 13641573 13643025
Glyma02g15110 - Gm02 13646102 13646280
Glyma02g15120 - Gm02 13653942 13655334
Glyma02g15130 - Gm02 13656799 13658120
Glyma02g15140 - Gm02 13658144 13658709
Glyma02g15150 - Gm02 13661686 13663998
Glyma02g15160 - Gm02 13668928 13669985
Glyma02g15170 - Gm02 13671373 13672527
Glyma02g15180 + Gm02 13685970 13690872
Glyma02g15190 + Gm02 13698852 13703488
Glyma02g15200 + Gm02 13712249 13713492
Glyma02g15220 - Gm02 13723281 13728278
Glyma02g15230 - Gm02 13742200 13743039
Glyma02g15240 - Gm02 13750592 13751045
Glyma02g15250 - Gm02 13761866 13766876
Glyma02g15260 - Gm02 13778090 13779394
Glyma02g15270 + Gm02 13782661 13783136
Glyma02g15280 - Gm02 13785477 13788460
Glyma02g15290 - Gm02 13790014 13792993
Glyma02g15300 - Gm02 13797857 13801116
Glyma02g15310 + Gm02 13807369 13807564
Glyma02g15320 - Gm02 13808692 13811818
Glyma02g15330 + Gm02 13828668 13832263
Glyma02g15340 - Gm02 13835902 13850755
Glyma02g15350 + Gm02 13867950 13868449
Glyma02g15360 - Gm02 13894502 13899627
Glyma02g15370 - Gm02 13901707 13903614
Glyma02g15380 - Gm02 13906357 13909222
Glyma02g15390 - Gm02 13912360 13914233
Glyma02g15400 - Gm02 13915880 13918244
Glyma02g15410 - Gm02 13929154 13929850
Glyma02g15420 - Gm02 13931280 13935016
Glyma02g15430 - Gm02 13936121 13938212
Glyma02g15440 + Gm02 13941483 13943540
Glyma02g15450 + Gm02 13944527 13955010
Glyma02g15460 + Gm02 13960574 13963722
Glyma02g15470 - Gm02 13967310 13972702
Glyma02g15480 + Gm02 13981949 13983156
Glyma02g15490 + Gm02 13984119 13989640
Glyma02g15500 - Gm02 13990926 13996887
Glyma02g15510 + Gm02 13999834 14002886
Glyma02g15520 + Gm02 14016230 14021577
Glyma02g15530 - Gm02 14024978 14027830
Glyma02g15540 - Gm02 14030139 14033159
Glyma02g15550 - Gm02 14034748 14059126
Glyma02g15570 + Gm02 14061909 14066772
Glyma02g15580 + Gm02 14072526 14074160
Glyma02g15590 + Gm02 14083370 14089609
Glyma02g15600 + Gm02 14104551 14108401
Glyma02g15610 + Gm02 14111496 14111843
Glyma02g15620 - Gm02 14111955 14112212
Glyma02g15630 - Gm02 14116523 14118777
Glyma02g15640 - Gm02 14131474 14139987
Glyma02g15650 + Gm02 14143918 14158139
Glyma02g15670 + Gm02 14158420 14159465
Glyma02g15680 + Gm02 14161650 14164960
Glyma02g15690 + Gm02 14176201 14181142
Glyma02g15700 - Gm02 14181916 14186655
Glyma02g15710 + Gm02 14187444 14188598
Glyma02g15720 - Gm02 14193336 14193647
Glyma02g15730 - Gm02 14194874 14195165
Glyma02g15740 + Gm02 14214829 14215128
Glyma02g15750 - Gm02 14243772 14245743
Glyma02g15760 + Gm02 14273454 14277638
Glyma02g15770 - Gm02 14277805 14282879
Glyma02g15780 + Gm02 14291914 14296147
Glyma02g15790 + Gm02 14297825 14299798
Glyma02g15800 - Gm02 14301139 14301676
Glyma02g15810 - Gm02 14304160 14306541
Glyma02g15820 + Gm02 14310129 14310671
Glyma02g15830 + Gm02 14317211 14318436
Glyma02g15840 + Gm02 14324201 14332819
Glyma02g15850 - Gm02 14329808 14334452
Glyma02g15860 + Gm02 14340792 14341279
Glyma02g15870 + Gm02 14348789 14351092
Glyma02g15880 + Gm02 14352693 14356557
Glyma02g15910 - Gm02 14372174 14373784
Glyma02g15920 - Gm02 14383111 14385983
Glyma02g15930 - Gm02 14398848 14399392
Glyma02g15940 - Gm02 14403218 14403598
Glyma02g15950 + Gm02 14407806 14409808
Glyma02g15960 + Gm02 14413915 14415192
Glyma02g15970 + Gm02 14417022 14418805
Glyma02g15980 - Gm02 14421281 14426749
Glyma02g15990 + Gm02 14432295 14437801
Glyma02g16000 + Gm02 14438645 14440092
Glyma02g16010 + Gm02 14441655 14447254
Glyma02g16020 - Gm02 14449872 14458877
Glyma02g16030 + Gm02 14463067 14464233
Glyma02g16040 - Gm02 14464589 14468607
Glyma02g16050 - Gm02 14470386 14473657
Glyma02g16060 + Gm02 14475092 14479529
Glyma02g16070 - Gm02 14484969 14486198
Glyma02g16080 - Gm02 14487330 14489008
Glyma02g16090 + Gm02 14506881 14508518
Glyma02g16100 - Gm02 14513447 14515890
Glyma02g16110 - Gm02 14518165 14521952
Glyma02g16120 - Gm02 14527058 14528283
Glyma02g16130 - Gm02 14532198 14543352
Glyma02g16140 - Gm02 14554981 14557277
Glyma02g16150 + Gm02 14567489 14569221
Glyma02g16160 - Gm02 14576840 14577284
Glyma02g16170 + Gm02 14579394 14585297
Glyma02g16180 - Gm02 14591142 14594631
Glyma02g16190 - Gm02 14612023 14616871
Glyma02g16200 - Gm02 14619505 14621932
Glyma02g16210 + Gm02 14623815 14626826
Glyma02g16220 + Gm02 14630203 14631393
Glyma02g16230 - Gm02 14635243 14636118
Glyma02g16240 - Gm02 14639119 14643698
Glyma02g16250 - Gm02 14645296 14647927
Glyma02g16260 - Gm02 14650011 14666786
Glyma02g16270 + Gm02 14681641 14686192
Glyma02g16280 - Gm02 14692607 14696761
Glyma02g16290 + Gm02 14706553 14708927
Glyma02g16300 + Gm02 14712718 14719757
Glyma02g16310 - Gm02 14721411 14725374
Glyma02g16320 + Gm02 14732095 14734378
Glyma02g16330 - Gm02 14735038 14738783
Glyma02g16340 - Gm02 14743924 14745675
Glyma02g16350 - Gm02 14746592 14752345
Glyma02g16360 + Gm02 14775376 14775568
Glyma02g16370 + Gm02 14777592 14783145
Glyma02g16380 - Gm02 14783986 14791249
Glyma02g16390 + Gm02 14806167 14811022
Glyma02g16400 + Gm02 14811523 14812150
Glyma02g16410 - Gm02 14813562 14816477
Glyma02g16420 - Gm02 14826575 14828110
Glyma02g16430 + Gm02 14831576 14834553
Glyma02g16440 - Gm02 14849938 14853795
Glyma02g16450 - Gm02 14855044 14857723
Glyma02g16460 - Gm02 14858717 14858964
Glyma02g16480 + Gm02 14868387 14872249
Glyma02g16490 + Gm02 14877008 14878780
Glyma02g16500 - Gm02 14883119 14884320
Glyma02g16510 + Gm02 14890383 14891320
Glyma02g16520 + Gm02 14896458 14897152
Glyma02g16530 + Gm02 14909749 14910443
Glyma02g16540 - Gm02 14912614 14920550
Glyma02g16550 + Gm02 14928488 14930320
Glyma02g16560 + Gm02 14939562 14940564
Glyma02g16570 - Gm02 14942611 14945794
Glyma02g16580 - Gm02 14951632 14957012
Glyma02g16590 - Gm02 14966419 14970886
Glyma02g16600 + Gm02 14975360 14976657
Glyma02g16610 + Gm02 14994976 14996307
Glyma02g16620 - Gm02 14997531 14999941
Glyma02g16630 + Gm02 15000881 15007947
Glyma02g16640 + Gm02 15013905 15015158
Glyma02g16650 - Gm02 15030103 15038206
Glyma02g16660 + Gm02 15042523 15045368
Glyma02g16670 - Gm02 15047873 15056855
Glyma02g16680 + Gm02 15066155 15071149
Glyma02g16690 + Gm02 15072148 15072734
Glyma02g16700 - Gm02 15073735 15077320
Glyma02g16710 - Gm02 15082152 15083827
Glyma02g16720 - Gm02 15091694 15095309
Glyma02g16730 + Gm02 15098589 15098694
Glyma02g16740 - Gm02 15100047 15102450
Glyma02g16750 + Gm02 15114970 15116938
Glyma02g16760 - Gm02 15122357 15122723
Glyma02g16770 - Gm02 15124644 15125845
Glyma02g16780 + Gm02 15127571 15130244
Glyma02g16800 - Gm02 15137625 15140932
Glyma02g16810 - Gm02 15142484 15154189
Glyma02g16820 + Gm02 15156018 15157565
Glyma02g16830 - Gm02 15167872 15172521
Glyma02g16840 - Gm02 15175386 15179709
Glyma02g16850 + Gm02 15184282 15189198
Glyma02g16860 + Gm02 15190849 15195647
Glyma02g16870 + Gm02 15213519 15219263
Glyma02g16880 - Gm02 15220018 15221674
Glyma02g16890 - Gm02 15224460 15228005
Glyma02g16900 + Gm02 15243159 15248711
Glyma02g16910 + Gm02 15261011 15261429
Glyma02g16920 + Gm02 15263958 15266016
Glyma02g16930 - Gm02 15269035 15271944
Glyma02g16940 + Gm02 15278399 15281648
Glyma02g16950 + Gm02 15297362 15300582
Glyma02g16960 - Gm02 15304143 15306380
Glyma02g16970 + Gm02 15316654 15320488
Glyma02g16980 + Gm02 15324104 15327606
Glyma02g16990 + Gm02 15333196 15334779
Glyma02g17000 - Gm02 15337493 15342947
Glyma02g17010 - Gm02 15348422 15351174
Glyma02g17020 + Gm02 15364399 15365476
Glyma02g17030 - Gm02 15368310 15368542
Glyma02g17040 + Gm02 15371890 15381733
Glyma02g17050 + Gm02 15383416 15385391
Glyma02g17060 - Gm02 15389280 15391080
Glyma02g17070 + Gm02 15399192 15401757
Glyma02g17080 - Gm02 15403998 15404795
Glyma02g17090 - Gm02 15413241 15417457
Glyma02g17100 - Gm02 15423037 15426260
Glyma02g17110 + Gm02 15429194 15433848
Glyma02g17120 + Gm02 15435528 15438473
Glyma02g17130 + Gm02 15441006 15450193
Glyma02g17140 + Gm02 15452473 15453342
Glyma02g17150 - Gm02 15453691 15456149
Glyma02g17160 + Gm02 15461798 15466010
Glyma02g17170 + Gm02 15488295 15491555
Glyma02g17180 - Gm02 15500110 15501551
Glyma02g17190 - Gm02 15523014 15523764
Glyma02g17200 - Gm02 15532583 15533292
Glyma02g17210 + Gm02 15547963 15548271
Glyma02g17220 + Gm02 15556484 15557218
Glyma02g17230 - Gm02 15557747 15558417
Glyma02g17240 - Gm02 15559786 15562734
Glyma02g17250 - Gm02 15572491 15575026
Glyma02g17260 - Gm02 15577185 15581248
Glyma02g17270 + Gm02 15583109 15585199
Glyma02g17280 + Gm02 15586411 15590966
Glyma02g17290 - Gm02 15594488 15595480
Glyma02g17300 - Gm02 15596724 15598333
Glyma02g17310 + Gm02 15612143 15612940
Glyma02g17320 - Gm02 15621519 15623889
Glyma02g17330 + Gm02 15629738 15630911
Glyma02g17340 + Gm02 15632087 15633440
Glyma02g17350 + Gm02 15640580 15641468
Glyma02g17360 - Gm02 15647101 15651132
Glyma02g17370 - Gm02 15655759 15657787
Glyma02g17380 + Gm02 15660477 15661811
Glyma02g17390 - Gm02 15661857 15663142
Glyma02g17400 + Gm02 15663831 15676723
Glyma02g17410 + Gm02 15686680 15695098
Glyma02g17420 + Gm02 15696883 15703532
Glyma02g17430 + Gm02 15711493 15714195
Glyma02g17440 + Gm02 15717821 15718985
Glyma02g17450 - Gm02 15719523 15720376
Glyma02g17460 - Gm02 15721092 15722888
Glyma02g17470 + Gm02 15722606 15724906
Glyma02g17480 - Gm02 15725840 15732190
Glyma02g17490 - Gm02 15740421 15750120
Glyma02g17500 - Gm02 15754963 15756257
Glyma02g17510 - Gm02 15757251 15758537
Glyma02g17520 - Gm02 15763986 15764308
Glyma02g17720 - Gm02 15932477 15934785
Glyma02g17730 + Gm02 15980976 15982111
Glyma02g17740 + Gm02 15983752 15984357
Glyma02g17940 - Gm02 16101502 16103987
Glyma02g17950 + Gm02 16105490 16105720
Glyma02g17960 - Gm02 16109176 16110091
Glyma02g17970 - Gm02 16128132 16130025
Glyma02g17980 + Gm02 16188909 16189205
Glyma02g17990 + Gm02 16195539 16196562
Glyma02g18000 + Gm02 16202530 16206501
Glyma02g18010 + Gm02 16208147 16208598
Glyma02g18020 - Gm02 16214198 16220626
Glyma02g18030 - Gm02 16287457 16287905
Glyma02g18040 - Gm02 16291138 16291685
Glyma02g18050 - Gm02 16296253 16297889
Glyma02g18060 - Gm02 16391920 16393947
Glyma02g18080 - Gm02 16415074 16416197
Glyma02g18090 - Gm02 16502507 16503546
Glyma02g18100 - Gm02 16539475 16541056
Glyma02g18110 - Gm02 16544501 16544757
Glyma02g18120 + Gm02 16572644 16573049
Glyma02g18130 - Gm02 16574714 16575247
Glyma02g18140 + Gm02 16578104 16578395
Glyma02g18150 + Gm02 16583074 16583572
Glyma02g18160 + Gm02 16584532 16584747
Glyma02g18170 + Gm02 16588113 16588414
Glyma02g18180 - Gm02 16589178 16589915
Glyma02g18190 + Gm02 16666828 16667638
Glyma02g18200 + Gm02 16671900 16677673
Glyma02g18210 + Gm02 16729248 16729880
Glyma02g18220 + Gm02 16759577 16761088
Glyma02g18230 - Gm02 16776072 16787046
Glyma02g18250 - Gm02 16844312 16849276
Glyma02g18260 + Gm02 16871344 16872691
Glyma02g18270 - Gm02 16880769 16881592
Glyma02g18280 - Gm02 16923041 16923518
Glyma02g18290 - Gm02 16975133 16976309
Glyma02g18300 + Gm02 16999338 17007051
Glyma02g18310 + Gm02 17009092 17010583
Glyma02g18320 + Gm02 17021571 17027108
Glyma02g18340 + Gm02 17035020 17036048
Glyma02g18350 - Gm02 17038572 17038733
Glyma02g18360 + Gm02 17068609 17069143
Glyma02g18370 - Gm02 17074726 17080719
Glyma02g18380 - Gm02 17169065 17174295
Glyma02g18390 + Gm02 17187311 17187547
Glyma02g18590 + Gm02 17327821 17328598
Glyma02g18600 + Gm02 17350568 17350880
Glyma02g18610 - Gm02 17351097 17357072
Glyma02g18620 - Gm02 17361212 17364597
Glyma02g18630 + Gm02 17442168 17443880
Glyma02g18640 + Gm02 17451382 17460084
Glyma02g18660 + Gm02 17460520 17461025
Glyma02g18670 - Gm02 17498841 17520587
Glyma02g18680 + Gm02 17513474 17514524
Glyma02g18890 - Gm02 17791881 17796800
Glyma02g18900 - Gm02 17800857 17802060
Glyma02g18910 - Gm02 17803737 17804107
Glyma02g19110 - Gm02 18013687 18016175
Glyma02g19310 + Gm02 18220225 18221295
Glyma02g19320 - Gm02 18227072 18227277
